n_hor,n_ver,n_tot,eta,S
318,7,325,0.63476562,0.95692308
281,43,324,0.6328125,0.7345679
327,11,338,0.66015625,0.93491124
314,17,331,0.64648438,0.89728097
301,28,329,0.64257812,0.82978723
304,20,324,0.6328125,0.87654321
325,16,341,0.66601562,0.90615836
324,6,330,0.64453125,0.96363636
292,43,335,0.65429688,0.74328358
270,64,334,0.65234375,0.61676647
274,69,343,0.66992188,0.59766764
322,18,340,0.6640625,0.89411765
338,1,339,0.66210938,0.99410029
331,0,331,0.64648438,1
315,14,329,0.64257812,0.91489362
305,13,318,0.62109375,0.91823899
332,2,334,0.65234375,0.98802395
339,9,348,0.6796875,0.94827586
334,10,344,0.671875,0.94186047
303,26,329,0.64257812,0.84194529
294,20,314,0.61328125,0.87261146
311,16,327,0.63867188,0.90214067
341,6,347,0.67773438,0.96541787
299,30,329,0.64257812,0.81762918
312,23,335,0.65429688,0.86268657
284,37,321,0.62695312,0.7694704
283,35,318,0.62109375,0.77987421
322,18,340,0.6640625,0.89411765
329,7,336,0.65625,0.95833333
335,5,340,0.6640625,0.97058824
342,2,344,0.671875,0.98837209
326,5,331,0.64648438,0.96978852
305,27,332,0.6484375,0.8373494
303,29,332,0.6484375,0.8253012
302,27,329,0.64257812,0.83586626
296,40,336,0.65625,0.76190476
297,22,319,0.62304688,0.86206897
330,4,334,0.65234375,0.9760479
279,42,321,0.62695312,0.73831776
286,47,333,0.65039062,0.71771772
310,23,333,0.65039062,0.86186186
303,32,335,0.65429688,0.80895522
296,32,328,0.640625,0.80487805
324,15,339,0.66210938,0.91150442
320,13,333,0.65039062,0.92192192
339,0,339,0.66210938,1
340,0,340,0.6640625,1
308,20,328,0.640625,0.87804878
299,29,328,0.640625,0.82317073
336,0,336,0.65625,1
316,15,331,0.64648438,0.90936556
324,12,336,0.65625,0.92857143
343,1,344,0.671875,0.99418605
329,6,335,0.65429688,0.9641791
306,25,331,0.64648438,0.8489426
321,16,337,0.65820312,0.90504451
335,2,337,0.65820312,0.98813056
310,22,332,0.6484375,0.86746988
346,0,346,0.67578125,1
310,10,320,0.625,0.9375
323,9,332,0.6484375,0.94578313
340,2,342,0.66796875,0.98830409
325,3,328,0.640625,0.98170732
330,12,342,0.66796875,0.92982456
352,0,352,0.6875,1
326,7,333,0.65039062,0.95795796
328,9,337,0.65820312,0.94658754
337,9,346,0.67578125,0.94797688
318,10,328,0.640625,0.93902439
