beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.55,0.2,1.84619,-0.005979,0.005979,2.90765e-05
0.55,0.25,1.84606,-0.00731812,0.00731812,3.25604e-05
0.55,0.3,1.78642,-0.0104675,0.0104675,3.48703e-05
0.55,0.35,1.83693,-0.0101807,0.0101807,4.2545e-05
0.55,0.4,1.78228,-0.0137659,0.0137659,5.29783e-05
0.55,0.45,1.8292,-0.0134326,0.0134326,4.00741e-05
0.55,0.5,1.82574,-0.0149255,0.0149255,2.35054e-05
0.55,0.55,1.81936,-0.0168286,0.0168286,3.31373e-05
0.55,0.6,1.81077,-0.0189429,0.0189429,8.16899e-05
0.55,0.65,1.8066,-0.0205945,0.0205945,3.43579e-05
0.55,0.7,1.79764,-0.0222058,0.0222058,5.04133e-05
0.55,0.75,1.75106,-0.0267273,0.0267273,0.000229071
0.55,0.8,1.77789,-0.0265393,0.0265393,9.355e-05
0.55,0.85,1.77087,-0.0288489,0.0288489,4.89427e-05
0.55,0.9,1.75798,-0.03099,0.03099,7.17911e-05
0.55,0.95,1.74922,-0.0330676,0.0330676,7.10905e-05
0.6,-1,1.78365,0.0292603,0.0292603,0.000292995
0.6,-0.95,1.7763,0.0289514,0.0289514,4.94222e-05
0.6,-0.9,1.84207,0.0223938,0.0223938,7.05436e-05
0.6,-0.85,1.84931,0.0208508,0.0208508,4.28789e-05
0.6,-0.8,1.80262,0.0229443,0.0229443,3.47784e-05
0.6,-0.75,1.86366,0.0175049,0.0175049,5.97139e-05
0.6,-0.7,1.86945,0.0164294,0.0164294,5.39157e-05
0.6,-0.65,1.87655,0.0146582,0.0146582,2.44831e-05
0.6,-0.6,1.82553,0.0168872,0.0168872,1.92085e-05
0.6,-0.55,1.83181,0.0149353,0.0149353,2.54612e-05
